_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
ObjectId(5e4ce4793186f205953a2c23),ICMP,ObjectId(5e4ce4773186f205953a2c22),2020-02-19T07:32:07.492Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce47f3186f205953a2c2a),ICMP,ObjectId(5e4ce47f3186f205953a2c29),2020-02-19T07:32:15.648Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce47f3186f205953a2c2b),ICMP,ObjectId(5e4ce47f3186f205953a2c28),2020-02-19T07:32:15.136Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce47f3186f205953a2c2c),ICMP,ObjectId(5e4ce47e3186f205953a2c27),2020-02-19T07:32:14.628Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce47f3186f205953a2c2d),ICMP,ObjectId(5e4ce47e3186f205953a2c26),2020-02-19T07:32:14.113Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce47f3186f205953a2c2e),ICMP,ObjectId(5e4ce47d3186f205953a2c25),2020-02-19T07:32:13.600Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce47f3186f205953a2c2f),ICMP,ObjectId(5e4ce47d3186f205953a2c24),2020-02-19T07:32:13.092Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce4823186f205953a2c36),ICMP,ObjectId(5e4ce4823186f205953a2c35),2020-02-19T07:32:18.721Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce4823186f205953a2c37),ICMP,ObjectId(5e4ce4823186f205953a2c34),2020-02-19T07:32:18.208Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4ce4823186f205953a2c38),ICMP,ObjectId(5e4ce4813186f205953a2c33),2020-02-19T07:32:17.696Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
