,_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
0,78278,0,78299,78299,8337,0,0,0
1,41772,0,42498,42498,15973,0,0,0
2,67738,0,67373,67373,15974,0,0,0
3,1799,0,1809,1809,15972,0,0,0
4,33941,0,33661,33661,15973,0,0,0
5,3445,0,3334,3334,15973,0,0,0
6,68931,0,68898,68898,15974,0,0,0
7,12357,0,12227,12227,15974,0,0,0
8,43379,0,44008,44008,25425,0,0,0
9,14593,0,14236,14236,15972,0,0,0
10,70073,0,70279,70279,15972,0,0,0
11,10849,0,10489,10489,15973,0,0,0
12,74319,0,74457,74457,26699,0,0,0
13,32824,0,32591,32591,35788,0,0,0
14,26166,0,26231,26231,8088,0,0,0
15,59206,0,59686,59686,15973,0,0,0
16,13582,0,13038,13038,15974,0,0,0
17,47260,0,47327,47327,5375,0,0,0
18,82582,0,82593,82593,15974,0,0,0
19,6059,0,6050,6050,15974,0,0,0
20,43594,0,43793,43793,4357,0,0,0
21,51524,0,51745,51745,5667,0,0,0
22,39595,0,39388,39388,15973,0,0,0
23,9434,0,9195,9195,35213,0,0,0
24,73889,0,74887,74887,9506,0,0,0
25,53652,0,53654,53654,15972,0,0,0
26,40890,0,40894,40894,15973,0,0,0
27,57142,0,57065,57065,15974,0,0,0
28,37296,0,37464,37464,27369,0,0,0
29,28053,0,27662,27662,15972,0,0,0
30,35046,0,35698,35698,26326,0,0,0
31,20948,0,20920,20920,18030,0,0,0
32,69666,0,69382,69382,15972,0,0,0
33,82074,0,82158,82158,15974,0,0,0
34,67404,0,67707,67707,15974,0,0,0
35,19594,0,19836,19836,18683,0,0,0
36,14331,0,14497,14497,15972,0,0,0
37,35668,0,35076,35076,3113,0,0,0
38,21968,0,22414,22414,15972,0,0,0
39,565,0,400,400,15972,0,0,0
40,79573,0,79738,79738,7747,0,0,0
41,62328,0,62770,62770,15974,0,0,0
42,13045,0,13575,13575,15974,0,0,0
43,56808,0,56913,56913,12372,0,0,0
44,61572,0,61527,61527,15974,0,0,0
45,34778,0,34902,34902,15973,0,0,0
46,41282,0,41315,41315,15973,0,0,0
47,3223,0,3556,3556,15973,0,0,0
48,63768,0,63342,63342,7293,0,0,0
49,3602,0,3177,3177,15973,0,0,0
50,36670,0,36070,36070,36994,0,0,0
51,80153,0,79967,79967,17928,0,0,0
52,70519,0,71011,71011,15972,0,0,0
53,82020,0,81709,81709,15974,0,0,0
54,80875,0,80831,80831,24322,0,0,0
55,31865,0,31410,31410,6862,0,0,0
56,4827,0,4943,4943,39822,0,0,0
57,16698,0,17170,17170,27246,0,0,0
58,70671,0,70859,70859,15972,0,0,0
59,69728,0,69320,69320,15972,0,0,0
60,56158,0,56208,56208,14608,0,0,0
61,24130,0,24600,24600,15974,0,0,0
62,10018,0,10011,10011,15973,0,0,0
63,3855,0,4099,4099,15973,0,0,0
64,72125,0,71640,71640,33544,0,0,0
65,64002,0,63108,63108,36598,0,0,0
66,85662,0,85569,85569,15973,0,0,0
67,79173,0,79317,79317,23193,0,0,0
68,89003,0,88898,88898,15972,0,0,0
69,43771,0,43616,43616,26934,0,0,0
70,38751,0,38005,38005,30593,0,0,0
71,39127,0,39109,39109,15973,0,0,0
72,40524,0,40500,40500,15973,0,0,0
73,6533,0,6514,6514,15974,0,0,0
74,48486,0,48043,48043,8531,0,0,0
75,31014,0,30643,30643,18678,0,0,0
76,83672,0,83739,83739,15974,0,0,0
77,46115,0,46949,46949,15972,0,0,0
78,30726,0,30931,30931,24239,0,0,0
79,31073,0,31325,31325,27560,0,0,0
80,86863,0,86874,86874,23443,0,0,0
81,36900,0,35840,35840,32891,0,0,0
82,45698,0,45625,45625,15972,0,0,0
83,16100,0,16090,16090,36575,0,0,0
84,6198,0,5911,5911,15974,0,0,0
85,55749,0,55792,55792,24172,0,0,0
86,81505,0,81552,81552,9784,0,0,0
87,65927,0,65799,65799,16210,0,0,0
88,32337,0,32008,32008,15309,0,0,0
89,53191,0,53230,53230,15972,0,0,0
90,27606,0,27116,27116,15972,0,0,0
91,30216,0,30461,30461,16719,0,0,0
92,65069,0,65079,65079,1725,0,0,0
93,7324,0,7583,7583,33610,0,0,0
94,35558,0,35186,35186,29763,0,0,0
95,20474,0,20775,20775,16799,0,0,0
96,35897,0,36843,36843,15530,0,0,0
97,72460,0,72937,72937,5688,0,0,0
98,46482,0,46582,46582,15972,0,0,0
99,72243,0,71522,71522,30653,0,0,0
100,17514,0,17397,17397,39023,0,0,0
101,64827,0,64282,64282,30192,0,0,0
102,62520,0,62578,62578,15974,0,0,0
103,34404,0,34343,34343,15973,0,0,0
104,76563,0,76963,76963,15973,0,0,0
105,44635,0,44750,44750,1023,0,0,0
106,87123,0,86965,86965,17280,0,0,0
107,26469,0,25928,25928,39621,0,0,0
108,77410,0,77985,77985,15973,0,0,0
109,7764,0,8039,8039,20589,0,0,0
110,9540,0,9089,9089,20028,0,0,0
111,60699,0,60203,60203,15973,0,0,0
112,10102,0,10037,10037,15973,0,0,0
113,47058,0,47529,47529,14333,0,0,0
114,14313,0,14516,14516,15972,0,0,0
115,89569,0,89387,89387,15972,0,0,0
116,29129,0,29418,29418,16834,0,0,0
117,62736,0,62362,62362,15974,0,0,0
118,70930,0,70600,70600,15972,0,0,0
119,51477,0,51792,51792,34858,0,0,0
120,34597,0,34150,34150,15973,0,0,0
