_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot,type
ObjectId(5e280f413186f205962cf0df),ICMP,ObjectId(5e280f3c3186f205962ce831),2020-01-22T09:00:44.408Z,58.86.148.115,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b593186f205962b63c3),ICMP,ObjectId(5e280b563186f205962b5f53),2020-01-22T08:44:06.614Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f893186f205962d569e),ICMP,ObjectId(5e280f883186f205962d55d2),2020-01-22T09:02:00.497Z,134.5.26.106,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ed43186f205962c682a),ICMP,ObjectId(5e280ed13186f205962c64cc),2020-01-22T08:58:57.972Z,129.188.203.211,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ee13186f205962c77d8),ICMP,ObjectId(5e280edd3186f205962c71fc),2020-01-22T08:59:09.088Z,22.139.17.214,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f763186f205962d3da2),ICMP,ObjectId(5e280f753186f205962d3c05),2020-01-22T09:01:41.672Z,215.80.198.160,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b353186f205962b392d),ICMP,ObjectId(5e280b303186f205962b32f7),2020-01-22T08:43:28.797Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280eda3186f205962c6ee0),ICMP,ObjectId(5e280ed83186f205962c6ce8),2020-01-22T08:59:04.497Z,52.161.12.20,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b4f3186f205962b57ce),ICMP,ObjectId(5e280b4e3186f205962b56a5),2020-01-22T08:43:58.741Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f2a3186f205962cce18),ICMP,ObjectId(5e280f283186f205962ccc2b),2020-01-22T09:00:24.665Z,150.84.68.145,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dcb3186f205962c38b5),ICMP,ObjectId(5e280dc73186f205962c3344),2020-01-22T08:54:31.964Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f6a3186f205962d2e2c),ICMP,ObjectId(5e280f693186f205962d2bd4),2020-01-22T09:01:29.044Z,43.212.2.43,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f7d3186f205962d46c2),ICMP,ObjectId(5e280f7b3186f205962d44d0),2020-01-22T09:01:47.664Z,107.197.154.111,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f633186f205962d246f),ICMP,ObjectId(5e280f5e3186f205962d1e32),2020-01-22T09:01:18.659Z,22.44.120.70,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dab3186f205962c0f9e),ICMP,ObjectId(5e280dab3186f205962c0f33),2020-01-22T08:54:03.361Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280ee13186f205962c7821),ICMP,ObjectId(5e280edc3186f205962c7194),2020-01-22T08:59:08.837Z,252.229.237.231,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280daf3186f205962c131e),ICMP,ObjectId(5e280dae3186f205962c1276),2020-01-22T08:54:06.282Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d8b3186f205962be6b6),ICMP,ObjectId(5e280d883186f205962be325),2020-01-22T08:53:28.189Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c8d3186f205962bddd6),ICMP,ObjectId(5e280c8c3186f205962bdd09),2020-01-22T08:49:16.979Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280dd33186f205962c44fb),ICMP,ObjectId(5e280dd33186f205962c44e4),2020-01-22T08:54:43.517Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280ed43186f205962c6767),ICMP,ObjectId(5e280ed23186f205962c65b6),2020-01-22T08:58:58.549Z,188.66.159.213,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b2c3186f205962b2e75),ICMP,ObjectId(5e280b273186f205962b28ab),2020-01-22T08:43:19.869Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280ed73186f205962c6c17),ICMP,ObjectId(5e280ed43186f205962c681f),2020-01-22T08:59:00.764Z,112.169.122.125,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b1c3186f205962b18f4),ICMP,ObjectId(5e280b193186f205962b1533),2020-01-22T08:43:05.216Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280daf3186f205962c1448),ICMP,ObjectId(5e280dad3186f205962c111c),2020-01-22T08:54:05.106Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b323186f205962b35ac),ICMP,ObjectId(5e280b2d3186f205962b2f6f),2020-01-22T08:43:25.601Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c4b3186f205962b8d5b),ICMP,ObjectId(5e280c463186f205962b864a),2020-01-22T08:48:06.861Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d893186f205962be4dc),ICMP,ObjectId(5e280d893186f205962be4b8),2020-01-22T08:53:29.782Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d913186f205962bef07),ICMP,ObjectId(5e280d8d3186f205962be893),2020-01-22T08:53:33.133Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f1c3186f205962cbea9),ICMP,ObjectId(5e280f173186f205962cb9cb),2020-01-22T09:00:07.791Z,208.54.216.197,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280c8c3186f205962bdbe3),ICMP,ObjectId(5e280c873186f205962bd4ea),2020-01-22T08:49:11.699Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c6a3186f205962bb24a),ICMP,ObjectId(5e280c663186f205962badfd),2020-01-22T08:48:38.532Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b3e3186f205962b4392),ICMP,ObjectId(5e280b3b3186f205962b40ae),2020-01-22T08:43:39.523Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280eed3186f205962c8798),ICMP,ObjectId(5e280ee93186f205962c8153),2020-01-22T08:59:21.504Z,133.190.71.143,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280c803186f205962bcac2),ICMP,ObjectId(5e280c7b3186f205962bc50b),2020-01-22T08:48:59.496Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280dce3186f205962c3d00),ICMP,ObjectId(5e280dcb3186f205962c38d7),2020-01-22T08:54:35.844Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b3e3186f205962b43d2),ICMP,ObjectId(5e280b3b3186f205962b403f),2020-01-22T08:43:39.184Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280dd43186f205962c46ef),ICMP,ObjectId(5e280dd23186f205962c42cd),2020-01-22T08:54:42.073Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f613186f205962d2252),ICMP,ObjectId(5e280f603186f205962d206e),2020-01-22T09:01:20.012Z,126.3.176.64,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dc13186f205962c2bc4),ICMP,ObjectId(5e280dc03186f205962c2a18),2020-01-22T08:54:24.264Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280da33186f205962c0661),ICMP,ObjectId(5e280da03186f205962c02c8),2020-01-22T08:53:52.478Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f273186f205962cc9d9),ICMP,ObjectId(5e280f253186f205962cc7c8),2020-01-22T09:00:21.520Z,38.209.197.139,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dad3186f205962c1232),ICMP,ObjectId(5e280da83186f205962c0bca),2020-01-22T08:54:00.603Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
