,_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot,type
0,ObjectId(5e280b023186f205962b01a5),ICMP,ObjectId(5e280b013186f205962b01a4),2020-01-22T08:42:41.969Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
4,ObjectId(5e280b083186f205962b0299),ICMP,ObjectId(5e280b083186f205962b0291),2020-01-22T08:42:48.727Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
6,ObjectId(5e280b083186f205962b029c),ICMP,ObjectId(5e280b083186f205962b028f),2020-01-22T08:42:48.717Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
11,ObjectId(5e280b083186f205962b02a5),ICMP,ObjectId(5e280b083186f205962b028a),2020-01-22T08:42:48.678Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
14,ObjectId(5e280b083186f205962b02aa),ICMP,ObjectId(5e280b083186f205962b0287),2020-01-22T08:42:48.657Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
20,ObjectId(5e280b083186f205962b02b4),ICMP,ObjectId(5e280b083186f205962b0281),2020-01-22T08:42:48.611Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
21,ObjectId(5e280b083186f205962b02b5),ICMP,ObjectId(5e280b083186f205962b0280),2020-01-22T08:42:48.605Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
31,ObjectId(5e280b083186f205962b02c6),ICMP,ObjectId(5e280b083186f205962b0276),2020-01-22T08:42:48.555Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
37,ObjectId(5e280b083186f205962b02d0),ICMP,ObjectId(5e280b083186f205962b0270),2020-01-22T08:42:48.530Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
52,ObjectId(5e280b083186f205962b02e9),ICMP,ObjectId(5e280b083186f205962b0261),2020-01-22T08:42:48.459Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
61,ObjectId(5e280b083186f205962b02f8),ICMP,ObjectId(5e280b083186f205962b0258),2020-01-22T08:42:48.415Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
76,ObjectId(5e280b093186f205962b0312),ICMP,ObjectId(5e280b083186f205962b0249),2020-01-22T08:42:48.331Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
85,ObjectId(5e280b093186f205962b0321),ICMP,ObjectId(5e280b083186f205962b0240),2020-01-22T08:42:48.279Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
96,ObjectId(5e280b093186f205962b0333),ICMP,ObjectId(5e280b083186f205962b0235),2020-01-22T08:42:48.225Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
97,ObjectId(5e280b093186f205962b0335),ICMP,ObjectId(5e280b083186f205962b0234),2020-01-22T08:42:48.220Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
99,ObjectId(5e280b093186f205962b0338),ICMP,ObjectId(5e280b083186f205962b0232),2020-01-22T08:42:48.209Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
100,ObjectId(5e280b093186f205962b033a),ICMP,ObjectId(5e280b083186f205962b0231),2020-01-22T08:42:48.204Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
118,ObjectId(5e280b093186f205962b0354),ICMP,ObjectId(5e280b083186f205962b021f),2020-01-22T08:42:48.086Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
131,ObjectId(5e280b093186f205962b0368),ICMP,ObjectId(5e280b073186f205962b0212),2020-01-22T08:42:47.994Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
141,ObjectId(5e280b093186f205962b0379),ICMP,ObjectId(5e280b073186f205962b0208),2020-01-22T08:42:47.913Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
149,ObjectId(5e280b093186f205962b0387),ICMP,ObjectId(5e280b073186f205962b0200),2020-01-22T08:42:47.850Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
152,ObjectId(5e280b093186f205962b038c),ICMP,ObjectId(5e280b073186f205962b01fd),2020-01-22T08:42:47.825Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
158,ObjectId(5e280b093186f205962b0395),ICMP,ObjectId(5e280b073186f205962b01f7),2020-01-22T08:42:47.761Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
161,ObjectId(5e280b093186f205962b039a),ICMP,ObjectId(5e280b073186f205962b01f4),2020-01-22T08:42:47.726Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
163,ObjectId(5e280b093186f205962b039e),ICMP,ObjectId(5e280b073186f205962b01f2),2020-01-22T08:42:47.704Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
169,ObjectId(5e280b093186f205962b03a8),ICMP,ObjectId(5e280b073186f205962b01ec),2020-01-22T08:42:47.629Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
175,ObjectId(5e280b093186f205962b03b2),ICMP,ObjectId(5e280b073186f205962b01e6),2020-01-22T08:42:47.578Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
176,ObjectId(5e280b093186f205962b03b3),ICMP,ObjectId(5e280b073186f205962b01e5),2020-01-22T08:42:47.570Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
181,ObjectId(5e280b093186f205962b03bb),ICMP,ObjectId(5e280b073186f205962b01e0),2020-01-22T08:42:47.540Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
197,ObjectId(5e280b093186f205962b03d6),ICMP,ObjectId(5e280b073186f205962b01d0),2020-01-22T08:42:47.415Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
230,ObjectId(5e280b093186f205962b0400),ICMP,ObjectId(5e280b073186f205962b01af),2020-01-22T08:42:47.138Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
231,ObjectId(5e280b093186f205962b0401),ICMP,ObjectId(5e280b073186f205962b01ae),2020-01-22T08:42:47.132Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
234,ObjectId(5e280b093186f205962b0404),ICMP,ObjectId(5e280b073186f205962b01ab),2020-01-22T08:42:47.118Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
240,ObjectId(5e280b0b3186f205962b056d),ICMP,ObjectId(5e280b0b3186f205962b0567),2020-01-22T08:42:51.771Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
244,ObjectId(5e280b0b3186f205962b0574),ICMP,ObjectId(5e280b0b3186f205962b0563),2020-01-22T08:42:51.752Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
247,ObjectId(5e280b0b3186f205962b0579),ICMP,ObjectId(5e280b0b3186f205962b0560),2020-01-22T08:42:51.736Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
254,ObjectId(5e280b0b3186f205962b0585),ICMP,ObjectId(5e280b0b3186f205962b0559),2020-01-22T08:42:51.582Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
258,ObjectId(5e280b0b3186f205962b058b),ICMP,ObjectId(5e280b0b3186f205962b0555),2020-01-22T08:42:51.559Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
266,ObjectId(5e280b0b3186f205962b0599),ICMP,ObjectId(5e280b0b3186f205962b054d),2020-01-22T08:42:51.515Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
272,ObjectId(5e280b0b3186f205962b05a3),ICMP,ObjectId(5e280b0b3186f205962b0547),2020-01-22T08:42:51.484Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
281,ObjectId(5e280b0b3186f205962b05b1),ICMP,ObjectId(5e280b0b3186f205962b053e),2020-01-22T08:42:51.440Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
287,ObjectId(5e280b0b3186f205962b05bb),ICMP,ObjectId(5e280b0b3186f205962b0538),2020-01-22T08:42:51.411Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
300,ObjectId(5e280b0c3186f205962b05d0),ICMP,ObjectId(5e280b0b3186f205962b052b),2020-01-22T08:42:51.343Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
305,ObjectId(5e280b0c3186f205962b05d9),ICMP,ObjectId(5e280b0b3186f205962b0526),2020-01-22T08:42:51.319Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
312,ObjectId(5e280b0c3186f205962b05e4),ICMP,ObjectId(5e280b0b3186f205962b051f),2020-01-22T08:42:51.286Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
325,ObjectId(5e280b0c3186f205962b05fa),ICMP,ObjectId(5e280b0b3186f205962b0512),2020-01-22T08:42:51.207Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
335,ObjectId(5e280b0c3186f205962b0607),ICMP,ObjectId(5e280b0b3186f205962b0508),2020-01-22T08:42:51.063Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
344,ObjectId(5e280b0c3186f205962b0610),ICMP,ObjectId(5e280b0b3186f205962b04ff),2020-01-22T08:42:51.026Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
356,ObjectId(5e280b0c3186f205962b061c),ICMP,ObjectId(5e280b0a3186f205962b04f3),2020-01-22T08:42:50.973Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
359,ObjectId(5e280b0c3186f205962b061f),ICMP,ObjectId(5e280b0a3186f205962b04f0),2020-01-22T08:42:50.961Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
361,ObjectId(5e280b0c3186f205962b0621),ICMP,ObjectId(5e280b0a3186f205962b04ee),2020-01-22T08:42:50.953Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
402,ObjectId(5e280b0c3186f205962b0663),ICMP,ObjectId(5e280b0a3186f205962b04c5),2020-01-22T08:42:50.787Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
404,ObjectId(5e280b0c3186f205962b0666),ICMP,ObjectId(5e280b0a3186f205962b04c3),2020-01-22T08:42:50.778Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
405,ObjectId(5e280b0c3186f205962b0668),ICMP,ObjectId(5e280b0a3186f205962b04c2),2020-01-22T08:42:50.774Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
406,ObjectId(5e280b0c3186f205962b066a),ICMP,ObjectId(5e280b0a3186f205962b04c1),2020-01-22T08:42:50.770Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
410,ObjectId(5e280b0c3186f205962b0670),ICMP,ObjectId(5e280b0a3186f205962b04bd),2020-01-22T08:42:50.753Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
